experiment,parameter,parameter_value,n,replications,batch_size,seed,population_F_D,median_F_D,robust_sd,median_se,median_bias,wald_coverage,wald_coverage_mcse,inversion_coverage,inversion_coverage_mcse,invalid_replications,median_partial_F,median_naive_F
proximal,v_A,1.0,1000,100000,5000,42,63.72915110779191,63.79245139113723,0.06414541648324194,0.06327000542546302,-1.731010138084077e-05,0.95247,0.0006728365262082608,0.95254,0.0006723655880545936,0,85.64697278380393,179.67030915697177
proximal,v_A,0.3,1000,100000,5000,42,26.482454224664092,26.49195510079916,0.17278532574829172,0.16975482254252977,0.0006386085326610669,0.95204,0.0006757206405016796,0.95168,0.0006781237173259761,0,29.631992791124368,362.0055874321339
proximal,v_A,0.1,1000,100000,5000,42,6.218271029172423,6.233552099614936,0.49080348860529127,0.46761403105717936,0.008780548644957253,0.93531,0.0007778509105220616,0.95262,0.000671826879486077,0,6.392955381444912,510.2271417542541
proximal,v_A,0.03,1000,100000,5000,42,0.7742869519542168,0.9221560992006531,1.1867201775658311,1.433290641272464,0.43526787069944683,0.93042,0.0008046031543562327,0.9515,0.000679321352527653,0,0.9255701799475373,595.1679056360872
proximal,v_A,0.01,1000,100000,5000,42,0.09503836617168637,0.5038141256043956,1.4603110311551402,2.036947479497589,0.8849035617544865,0.93091,0.0008019761336847872,0.95141,0.0006799192003466296,0,0.5048314905485302,624.5546840428656
