experiment,parameter,parameter_value,n,replications,batch_size,seed,population_F_D,median_F_D,robust_sd,median_se,median_bias,wald_coverage,wald_coverage_mcse,inversion_coverage,inversion_coverage_mcse,invalid_replications,median_partial_F,median_naive_F
frontdoor,v_M,1.0,1000,100000,5000,42,100.0,100.0,0.0384801231324341,0.03848207429094995,-0.0004357009475468576,0.94943,0.0006929117916445065,0.9537,0.0006645021444660657,0,,
frontdoor,v_M,0.1,1000,100000,5000,42,100.0,100.0,0.06996591911635511,0.06996026525244482,-1.4573691593300353e-05,0.94968,0.0006912879110761306,0.9545,0.0006590125188492248,0,,
frontdoor,v_M,0.01,1000,100000,5000,42,100.0,100.0,0.21744928675441072,0.2190405369457666,0.0008632063965974268,0.9492,0.0006944016129013524,0.95353,0.0006656616189927132,0,,
frontdoor,v_M,0.001,1000,100000,5000,42,100.0,100.0,0.6955185001706773,0.692524778538848,-0.0029486765830888384,0.9495,0.0006924575799281859,0.95348,0.0006660021741706254,0,,
