n,h_a,h_b,method,reps,limit_coverage,limit_mcse,limit_reps,coverage,mcse,failures,conditional_coverage,T_q025,T_q50,T_q975,T_q025_mcse,T_q50_mcse,T_q975_mcse,T_sd
300,0.0,0.0,emp,50000,0.999899,1.004936808958741e-05,1000000,0.99976,6.927371795999086e-05,0,0.99976,-1.0040105563097623,0.0018086912795321755,0.9936099060586437,0.004653247066635142,0.002468311387732412,0.00606299906249925,0.5070006183535081
300,0.0,0.0,G,50000,0.999899,1.004936808958741e-05,1000000,0.9999,4.471912342611134e-05,0,0.9999,-0.9954797519778891,0.0017648742707511269,0.9812881120659098,0.0046088810669879035,0.002443837815700542,0.006139341227808896,0.5020814570747612
300,0.0,0.25,emp,50000,0.999883,1.0816021033634954e-05,1000000,0.99976,6.927371795999086e-05,0,0.99976,-1.025709688963368,0.0035731602283373028,1.0028353073246032,0.004775753867218607,0.002171120099315664,0.006814641778952922,0.5148088666116714
300,0.0,0.25,G,50000,0.999883,1.0816021033634954e-05,1000000,0.99984,5.656401683049905e-05,0,0.99984,-1.0168053851519299,0.003557385245157924,0.9911786462037074,0.004970356595021949,0.002183084710837389,0.006282222300101679,0.5099550506320102
300,0.0,0.5,emp,50000,0.9998,1.414072133945005e-05,1000000,0.99964,8.483753886105219e-05,0,0.99964,-1.0604713647469535,0.0033930112167348554,1.0388449267483308,0.005552626637482955,0.00244020868570172,0.0069425285587640054,0.5365674442797866
300,0.0,0.5,G,50000,0.9998,1.414072133945005e-05,1000000,0.99974,7.210165046655145e-05,0,0.99974,-1.049094932087032,0.003313481004712511,1.025683345743595,0.0058164995238358195,0.0024328946828326157,0.007125462746971527,0.5316245217047841
300,0.0,1.0,emp,50000,0.999417,2.4138353527115312e-05,1000000,0.99906,0.00013704863370351796,0,0.99906,-1.1897114199644876,0.0028789690670531953,1.1664847836412016,0.007043382601495387,0.003574230026949321,0.006492602940474905,0.6073110356564313
300,0.0,1.0,G,50000,0.999417,2.4138353527115312e-05,1000000,0.99916,0.0001295603643094563,0,0.99916,-1.174874524361126,0.0028178664960536344,1.1512795292564821,0.006961423603052699,0.003521652049931351,0.006763999590495283,0.6018398142621686
300,0.0,2.0,emp,50000,0.996286,6.0829320265805985e-05,1000000,0.99468,0.00032532130578860006,0,0.99468,-1.4486359194877232,-0.0023767911652639116,1.4157945395635032,0.007354984017355591,0.004990194892166166,0.008211948661661143,0.7635988114825967
300,0.0,2.0,G,50000,0.996286,6.0829320265805985e-05,1000000,0.9959,0.00028576878765883414,0,0.9959,-1.4300383551827711,-0.0023424356552270006,1.401099406410994,0.0071245767457503,0.00491346355566204,0.00607575805142305,0.7564517878557263
