n,reps,denominator,escape_probability,escape_lower,escape_upper,escape_mcse,failures,relative_q025,relative_q50,relative_q975,relative_q025_mcse,relative_q50_mcse,relative_q975_mcse,relative_sd
50,50000,SN,0.37,0.20348,0.16652,0.00215916650585359,0,0.24245376204888527,0.8371720447956508,2.6374988467622873,0.0019220854795903466,0.0026955826651186955,0.014978980520911192,0.6383197200120854
50,50000,Napkin,0.56906,0.24404,0.32502,0.002214636387310567,0,0.18089039923040073,0.9418538566276391,6.997800485309428,0.0018091407764652232,0.005333015364858209,0.08262864388700626,1.983791100720876
200,50000,SN,0.08398,0.01726,0.06672,0.001240381873456719,0,0.5246932976673514,0.9604032077204707,1.7101345607667118,0.0017825061875097689,0.0016007689683741222,0.005762485969425973,0.30543363439888377
200,50000,Napkin,0.4811,0.14036,0.34074,0.0022344699147672587,0,0.3418785725837383,1.0264550639846286,5.499180450949853,0.0015407814214935445,0.004792871429098363,0.04356697216304092,1.4275439521289641
1000,50000,SN,0.00076,0.0,0.00076,0.000123241421608159,0,0.7625118286334477,0.9918221547536337,1.2890433070817802,0.001273546618307531,0.0006476691604116052,0.002046690911197676,0.13411313934615282
1000,50000,Napkin,0.42538,0.08036,0.34502,0.0022110262576459827,0,0.44294126009718804,1.049627162712151,4.975699091610555,0.0011175511765503475,0.004763888337227728,0.036032213896267526,1.2526717646035934
5000,50000,SN,0.0,0.0,0.0,0.0,0,0.8866359828415495,0.9986273166210401,1.1220946628799822,0.000648443927838294,0.00042797702418963826,0.0007039579088611379,0.05997652816951852
5000,50000,Napkin,0.39822,0.05026,0.34796,0.0021892502442617196,0,0.48308766919733226,1.0496741145315056,4.851828958545686,0.0005455059931146881,0.00432903406975583,0.03493257325952284,1.2270824139650398
