law,n,reps,v_name,v,method,variance_ratio,Gaussian_coverage_benchmark,emp_minus_G,paired_mcse,fieller_factor,coverage,mcse,failures,conditional_coverage,T_q025,T_q50,T_q975,T_q025_mcse,T_q50_mcse,T_q975_mcse,T_sd,se_q025,se_q50,se_q975,se_q025_mcse,se_q50_mcse,se_q975_mcse,se_sd,error_q025,error_q50,error_q975,error_q025_mcse,error_q50_mcse,error_q975_mcse,error_sd,enlarged_G_coverage
G,100,50000,1,1.0,emp,1.0,0.95,-0.0068,0.0006078507955508432,1.274268874687892,0.93732,0.0010839854021157292,0,0.93732,-2.2526342403146153,-0.02783584035135741,1.8998348941111727,0.01732056188961551,0.007796432113066185,0.009970304132504612,1.048745275725943,0.09194165957791656,0.11965517481597948,0.15520880397033676,0.00012563604348828214,8.431826688530342e-05,0.0002485654353073668,0.016147456927822525,-0.23131549367797088,-0.003287067525988183,0.25308771047207235,0.0013335938720478926,0.0009184039210664337,0.0013979960473365573,0.12339972933851176,0.98318
G,100,50000,1,1.0,G,1.0,0.95,-0.0068,0.0006078507955508432,1.274268874687892,0.94412,0.0010272042211751278,0,0.94412,-2.177987319188047,-0.026953426154647582,1.8354002218961067,0.014636474422372852,0.007515954360450082,0.009904384496639445,1.0197230395625727,0.10129553245391415,0.12191262858955376,0.1460513939258262,0.00012256965254807872,7.32103288485407e-05,0.0001687468264514749,0.011399479248939479,-0.23131549367797088,-0.003287067525988183,0.25308771047207235,0.0013335938720478926,0.0009184039210664337,0.0013979960473365573,0.12339972933851176,0.98318
G,100,50000,n^-1/2,0.1,emp,1.0,0.95,-0.00768,0.0006213115744628063,1.274268874687892,0.93814,0.0010773424747961998,0,0.93814,-2.102948504330916,-0.006153171743935556,2.0251815809291567,0.013551338909042887,0.008334180327665745,0.012837948064869256,1.0498840150636406,0.16420959043890268,0.2163338811769,0.28596892442795174,0.00020976074770529565,0.00021025381109710472,0.00047837612164203886,0.031118548553410615,-0.4385005450688983,-0.0014035426294772976,0.4433763376329539,0.0032929053117803594,0.0017947181260880474,0.0024388888158019496,0.22528238668377756,0.98376
G,100,50000,n^-1/2,0.1,G,1.0,0.95,-0.00768,0.0006213115744628063,1.274268874687892,0.94582,0.0010123687826083933,0,0.94582,-2.033988001453399,-0.005924573039369163,1.959830705745946,0.013235472786459937,0.00812704691564577,0.010625623445625777,1.0213374971236906,0.17899027457041156,0.22024674877936173,0.2710811791452117,0.00014431990681127503,0.00012052937832201824,0.0003771247352720461,0.023493890191797564,-0.4385005450688983,-0.0014035426294772976,0.4433763376329539,0.0032929053117803594,0.0017947181260880474,0.0024388888158019496,0.22528238668377756,0.98376
G,100,50000,n^-1,0.01,emp,1.0,0.95,-0.0076,0.0006245419129666328,1.274268874687892,0.9375,0.0010825317547305483,0,0.9375,-2.077293306428471,0.0009260016701558368,2.0665697359614836,0.014824781249352884,0.007914190275913611,0.01271299843632393,1.0522142569157142,0.5162617728150801,0.6767972379978896,0.8876929291311201,0.0006611818606448162,0.0005770400153449148,0.0017254588224290348,0.09535082276969609,-1.3809000187392706,0.0006799536098075322,1.382493668600367,0.010385420690699034,0.005407712332602415,0.007264004021580769,0.7048367556072164,0.98324
G,100,50000,n^-1,0.01,G,1.0,0.95,-0.0076,0.0006245419129666328,1.274268874687892,0.9451,0.0010186853292356768,0,0.9451,-2.006143660591139,0.0009123419864546691,1.997618603140851,0.013394779345978958,0.00783518842343164,0.011878783442982334,1.023910708407186,0.5639735724168187,0.6894662157768814,0.840513601177086,0.0004997690665334461,0.0003614872557275937,0.001146722757757333,0.07085719211609255,-1.3809000187392706,0.0006799536098075322,1.382493668600367,0.010385420690699034,0.005407712332602415,0.007264004021580769,0.7048367556072164,0.98324
G,100,50000,n^-2,0.0001,emp,1.0,0.95,-0.00756,0.0006251917668163153,1.274268874687892,0.93756,0.0010820466385512229,0,0.93756,-2.075868806270946,0.001963232884839018,2.069349144583622,0.014661976442055821,0.007967997191209764,0.01254128228730043,1.0524605777128222,5.165937132293557,6.767690647584704,8.867233305217551,0.006265583578460338,0.005811309089218292,0.01746176229493506,0.9491530975113893,-13.817003460103017,0.01353466940811848,13.809020101872125,0.1041137716046487,0.053957700642137375,0.07745165813611612,7.047483661115685,0.98312
G,100,50000,n^-2,0.0001,G,1.0,0.95,-0.00756,0.0006251917668163153,1.274268874687892,0.94512,0.0010185105360279788,0,0.94512,-2.0087646804776695,0.0020630799304912,2.0001881052848716,0.01367458447456367,0.007865649114009905,0.011869882584075977,1.0241777608658846,5.6450135437641995,6.894915920376046,8.388185979355505,0.0047268696949756515,0.0038128990706770777,0.009793024494670958,0.7029433995742926,-13.817003460103017,0.01353466940811848,13.809020101872125,0.1041137716046487,0.053957700642137375,0.07745165813611612,7.047483661115685,0.98312
G,300,50000,1,1.0,emp,1.0,0.95,-0.0027,0.00045371611957957075,1.0709122024908506,0.94564,0.0010139525669379211,0,0.94564,-2.08100976089974,-0.016353934311746334,1.9158232790895382,0.012472638396896694,0.004962977095147182,0.012225110865756814,1.0159164688266111,0.059974394087644003,0.0698473249103817,0.08147272219176695,5.7048563850556855e-05,3.016511134878992e-05,7.780216753085084e-05,0.005468581657349826,-0.13338174595509475,-0.0011426223954763858,0.1432370947398604,0.0008278389007499276,0.0003494714978194503,0.0008772684073154287,0.07066419940330905,0.963
G,300,50000,1,1.0,G,1.0,0.95,-0.0027,0.00045371611957957075,1.0709122024908506,0.94834,0.0009898610447936624,0,0.94834,-2.059842755517363,-0.016245850573507033,1.8915904377080546,0.013691508220845913,0.004940300889411895,0.011039338095584699,1.0068094806437469,0.06321721851432582,0.07029067828507532,0.07801522565948893,4.758095480606558e-05,1.8360067696095908e-05,5.3667539154873226e-05,0.0037810733709723156,-0.13338174595509475,-0.0011426223954763858,0.1432370947398604,0.0008278389007499276,0.0003494714978194503,0.0008772684073154287,0.07066419940330905,0.963
