law,n,reps,method,coverage,mcse,failures,conditional_coverage,scaled_log_q025,scaled_log_q50,scaled_log_q975,scaled_log_q025_mcse,scaled_log_q50_mcse,scaled_log_q975_mcse,scaled_log_sd
G,100,50000,Gaussian_pivot,0.95094,0.000965951514311148,0,0.95094,-6.714108581575408,-0.3418451003971824,5.682750165556868,0.03182176982845773,0.012113380242769728,0.04030919745154706,3.1710262729301615
G,100,50000,Gaussian_log_delta,0.94792,0.0009936566167444367,0,0.94792,-6.714108581575408,-0.3418451003971824,5.682750165556868,0.03182176982845773,0.012113380242769728,0.04030919745154706,3.1710262729301615
G,100,50000,Empirical_log_delta,0.9374,0.0010833396512636283,0,0.9374,-6.714108581575408,-0.3418451003971824,5.682750165556868,0.03182176982845773,0.012113380242769728,0.04030919745154706,3.1710262729301615
G,300,50000,Gaussian_pivot,0.94938,0.0009803837575153925,0,0.94938,-6.528711988057164,-0.20109772397279385,5.917237388379684,0.03972811902205271,0.01830031764542018,0.03624440662266233,3.1654964302693482
G,300,50000,Gaussian_log_delta,0.9492,0.0009820321786988444,0,0.9492,-6.528711988057164,-0.20109772397279385,5.917237388379684,0.03972811902205271,0.01830031764542018,0.03624440662266233,3.1654964302693482
G,300,50000,Empirical_log_delta,0.94592,0.0010114875540509632,0,0.94592,-6.528711988057164,-0.20109772397279385,5.917237388379684,0.03972811902205271,0.01830031764542018,0.03624440662266233,3.1654964302693482
G,1000,50000,Gaussian_pivot,0.94972,0.0009772606776085897,0,0.94972,-6.352337259174317,-0.11459258500306539,6.062612620669511,0.034824844647808086,0.01684676502049038,0.038954671831210694,3.169991582862073
G,1000,50000,Gaussian_log_delta,0.9495,0.0009792829009024919,0,0.9495,-6.352337259174317,-0.11459258500306539,6.062612620669511,0.034824844647808086,0.01684676502049038,0.038954671831210694,3.169991582862073
G,1000,50000,Empirical_log_delta,0.94804,0.0009925740113462572,0,0.94804,-6.352337259174317,-0.11459258500306539,6.062612620669511,0.034824844647808086,0.01684676502049038,0.038954671831210694,3.169991582862073
E,100,50000,Gaussian_pivot,0.68704,0.0020737214779232046,0,0.68704,-12.703826719663136,-1.3770612568385,10.95617398039818,0.059568362543020906,0.03527059782769582,0.07949088185205001,6.075101924947458
E,100,50000,Gaussian_log_delta,0.6759,0.0020931277552982764,0,0.6759,-12.703826719663136,-1.3770612568385,10.95617398039818,0.059568362543020906,0.03527059782769582,0.07949088185205001,6.075101924947458
E,100,50000,Empirical_log_delta,0.87208,0.0014936965796305487,0,0.87208,-12.703826719663136,-1.3770612568385,10.95617398039818,0.059568362543020906,0.03527059782769582,0.07949088185205001,6.075101924947458
E,300,50000,Gaussian_pivot,0.68022,0.002085764855394778,0,0.68022,-12.726356542491065,-0.7663706905235501,11.757589718218298,0.08864193666005094,0.03846431301718587,0.07071298263273142,6.227337602491567
